year,computedCountyFips
2000,6051
2001,6115
2001,6113
2001,6113
2001,6113
2001,6113
2002,6037
2002,6037
2002,6037
2002,6037
2003,6083
2003,6083
2004,6085
2004,6051
2004,6027
2004,6051
2005,6013
2005,6013
2007,6085
2010,6037
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6041
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2010,6013
2011,6111
2011,6037
2011,6037
2011,6037
2011,6037
2011,6037
2011,6037
2011,6015
2011,6015
2011,6015
2011,6015
2011,6015
2011,6015
2011,6015
2011,6015
2011,6023
2012,6037
2012,6037
2012,6093
2012,6073
2012,6037
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6083
2012,6111
2012,6111
2012,6111
2012,6111
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6037
2012,6083
2012,6083
2012,6097
2012,6081
2013,6075
2014,6111
2014,6073
2015,6069
2015,6073
2015,6073
2017,6037
2017,6081
2017,6023
2017,6081
2017,6081
2017,6111
2018,6071
2018,6053
2018,6001
2018,6037
2018,6001
2018,6001
2018,6001
2018,6087
,6053
,6061
,6061
,6061
,6061
,6061
,6061
,6061
,6061
,6061
,6001
,6061
,6061
,6061
,6061
,6061
,6073
,6083
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6013
,6067
,6071
,6099
,6061
,6073
,6085
,6001
,6085
,6083
,6083
,6085
,6037
,6021
,6027
,6085
,6039
,6039
,6109
,6109
,6047
,6071
,6071
,6053
,6053
,6027
,6053
,6053
,6053
,6047
,6047
,6047
,6047
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6053
,6109
,6109
,6109
,6109
,6109
,6109
,6109
,6109
,6027
,6109
,6109
,6081
