I_mean,FIPS
205.42,16039
85.92,08021
None,48211
60,16035
None,30109
93.19,56003
116,16029
154.57,08075
None,30037
121.2,08001
55.17,48179
67.5,48451
None,48087
None,48209
73,56017
None,48307
None,54085
None,54083
132.29,08087
None,30041
None,08017
None,48191
None,41069
None,46113
55.58,48295
None,54061
100.93,48111
None,48447
None,54041
None,41021
None,54107
None,48281
None,54009
None,54029
None,54073
None,54103
None,54011
None,30055
55,48171
86,48463
None,27137
80.75,48219
None,30051
77.5,20129
213,53043
124.5,31105
43.8,08067
None,46063
53.92,56023
44,48045
None,54001
None,48075
109.86,48421
53.5,48065
131,08014
131,08031
70.5,48393
42,48207
None,54035
1310,06083
None,16049
84.75,30015
None,48429
None,46137
None,48095
50.67,48153
80.29,48163
79.36,08029
64.17,08013
87.33,30009
None,46047
None,48167
None,48249
158.67,08115
67.8,48233
243.63,06029
None,48199
59.33,30029
133.14,08105
169.29,32029
169.29,32510
None,48053
None,40045
108.6,20075
None,53023
None,48405
667,06033
50.79,48245
None,48483
46.5,40007
None,48397
None,48503
53.5,48319
186.33,41065
108.58,20175
91.8,48325
None,48155
52.5,56041
None,54013
98.64,16079
None,54055
118.33,31165
None,48237
52.2,48381
61.5,49017
45.42,48071
None,48441
None,48151
None,48363
180,12035
73.33,56035
None,48411
76.63,20067
None,46041
68.14,48357
39.93,49019
57.5,48057
116.6,48341
126.14,48205
51,40139
None,16015
None,36105
40.67,48485
182,06027
59.67,30049
49,30023
49,30061
None,48391
None,48425
49.5,30067
71.2,30013
150.5,08121
50.13,16007
240,12095
None,48131
43,48023
None,12009
77.5,46019
61.7,30073
85,49041
42.25,41025
83.8,20189
None,53051
None,54105
50.5,48291
None,40127
None,48297
1027.5,06055
296.29,53025
43.79,49033
None,38013
None,46033
81.19,30099
None,40019
None,27071
None,48355
None,48453
180,08095
None,48133
None,54033
None,48059
None,40153
None,40059
63.75,22023
None,48011
69,48399
148,16087
None,54081
165,38053
None,48083
151.33,31007
43.83,48013
None,27017
None,40129
None,48049
None,54069
None,55003
112,38105
101.25,40057
124,16019
None,16017
115,38023
None,48439
99.7,20093
72.67,48195
None,46093
504.14,06069
None,48407
32.5,16003
None,12021
None,48401
None,42005
99.07,48369
None,48197
None,40043
None,48339
None,36001
None,48253
None,48487
None,48035
None,27061
58.25,48305
89.33,30001
59.5,16055
None,27057
44.25,41023
None,42059
None,48351
None,38061
None,38033
None,31075
80.88,30057
1466.25,06087
None,48161
None,48183
None,40069
None,40125
None,46071
None,31045
48.21,49047
None,46007
None,05053
222.5,16031
157,31161
None,48455
None,48175
92.25,30027
None,40123
None,53075
None,40151
None,46103
None,40121
None,46031
None,12115
154.4,31069
120.43,08063
None,12053
79.17,48029
None,48067
None,20025
65.5,32007
65.19,22053
None,31091
None,48193
None,48289
None,22005
140.14,16005
None,27001
None,20033
None,31171
189.25,08125
None,40107
None,27031
None,27075
None,42121
421,53001
83.21,20187
None,12105
None,16061
89.93,16045
155.5,20055
None,48333
None,54071
50.21,49051
None,48047
None,48349
150,12085
None,40029
None,40133
122.25,20199
None,48203
63,16081
44.21,48437
None,20071
None,30045
None,48009
40,22011
None,48257
None,48497
91.67,20203
None,46055
None,22119
None,48373
None,40005
87.13,40093
None,48315
58,40055
253.67,12127
None,54027
None,20007
None,48343
1326.25,06053
63.58,48239
None,28161
610,06017
None,51125
None,05065
None,54057
None,27007
None,55031
44.5,48039
72,48201
208.2,31013
85.56,49005
72.8,41063
367.5,41049
None,48077
None,46105
None,48365
None,48471
None,54023
96.14,48189
130.71,20119
None,38011
None,48213
59.43,48117
157,06035
None,48367
None,40063
142,20181
None,48143
None,22037
None,48221
None,20101
105.29,30031
173,31031
None,48457
None,48113
172.5,20023
None,22101
None,26033
None,38007
None,48231
None,48347
106,20109
None,21063
None,48139
None,40081
None,48225
None,42125
265.67,06089
None,16057
None,48099
None,48021
None,12015
None,21041
None,22013
82.63,48017
None,48085
67.83,48427
53.5,48025
45,40009
None,48459
905.75,06079
None,54077
None,05131
472.5,06081
None,54007
