I_mean,FIPS
152.71,53059
152.71,53069
None,21033
None,39089
None,55093
None,29157
None,17095
None,39163
88,12067
165.17,13081
None,37141
371,53005
135,17127
97,22029
None,26029
None,27023
198.63,31137
None,46059
253.29,55001
None,29175
None,39071
None,27109
None,46045
None,13285
None,18137
193.75,31093
130,41043
78.5,42025
78.5,42089
78.5,42103
62.58,53027
224.88,31059
None,18125
167,41009
106.8,41013
110,13043
156.71,13155
None,17181
None,39145
None,29115
209,29127
None,29137
None,21155
None,21233
216.63,31081
None,31147
72.5,37125
None,29041
None,27039
None,29159
234.13,31185
136,39061
None,18061
122,46025
None,17009
None,29095
None,18177
258.43,26027
None,29047
None,37123
None,51097
None,17109
None,13305
None,17203
None,21231
173.57,13239
173.57,13259
None,39147
230.38,31129
None,39027
156,29205
None,46013
None,37179
None,46073
None,12007
None,17175
None,17027
None,18107
188,27163
None,29013
96.57,37127
156.57,13099
None,29111
None,27173
None,26015
None,17121
None,29171
None,51175
None,21099
None,39005
None,17143
194,31097
125,36013
141.33,46023
99.75,37049
179,26117
214.63,31151
89.33,37129
80.5,27011
244.5,55111
None,18037
None,21217
None,29103
None,27157
None,21167
None,39157
None,29177
None,55139
None,46037
213,17107
None,27079
82.5,37051
325,21067
None,46091
None,19005
None,39083
None,21213
89.92,34021
89.92,34023
89.92,34029
193,17119
None,18157
None,29197
79.7,41017
98.25,34025
166.33,17033
202.67,18073
None,18079
228.2,26005
None,39021
140.5,47033
None,21021
189.5,13261
None,18021
None,21211
None,17173
None,31127
None,27019
214,31109
None,21017
None,17037
None,18171
None,17071
None,19187
154,46005
193,55035
None,29061
80,37155
226.75,31011
117.8,41003
221.43,31067
122,41033
183.57,13321
None,21149
None,29075
None,27139
None,29033
96.5,13185
None,17155
None,18057
None,17079
None,17193
None,26087
None,19177
63.07,37069
None,29183
None,17157
None,18153
None,29063
None,19111
129,55011
90.64,51073
90.64,51103
90.64,51115
90.64,51119
90.64,51127
90.64,51199
None,19185
None,18147
None,39097
None,27033
209.5,31131
201.71,13087
None,21141
138.29,13031
None,26155
None,37133
None,29049
None,29195
None,17001
None,21009
None,19125
None,27091
98.21,34007
98.21,34009
229.75,31159
None,17005
None,17189
None,20043
None,26045
227.5,31143
None,39133
80.38,51165
201.88,31163
None,37197
None,27169
None,17115
157,13287
None,17023
None,42001
129,53015
192,13205
None,26035
177.57,13277
136,55133
None,12113
211.13,31079
None,42099
None,29227
188.14,13201
220,21047
123,46029
None,19033
None,24510
156.5,13161
158,26025
239.57,16053
None,39055
None,24025
None,27063
None,17085
217.75,31155
None,17135
None,21225
156.14,13019
None,13103
None,24003
165.2,26163
None,39139
126.5,10005
None,19179
147,39129
77.75,42055
184,26081
171.6,27151
167,29087
None,19059
None,17075
None,55043
None,17021
None,39035
None,39085
None,39153
244.33,46135
None,19153
138.64,13027
199,19151
156.86,53037
None,46003
None,17055
None,19021
247,31025
196.25,46115
203,19115
None,17167
None,21219
None,42041
None,18175
None,21123
None,19051
343,55049
None,51093
239.2,18087
193,46051
None,19013
None,18081
None,36121
None,21227
None,17045
None,18119
172,18013
172,18043
None,29003
153.14,13065
153.14,13101
None,46111
173.71,13275
None,37019
None,18015
None,21101
None,42087
79.25,37101
199.5,31043
None,17165
215,31133
None,19015
106,42133
182.5,13131
None,42097
None,17039
None,21007
80.17,37085
None,37047
None,19053
None,18161
None,19017
None,19087
None,26073
174.25,26139
230,17131
250.4,17179
128.8,41007
128.8,41041
232.6,19147
None,19117
None,19121
None,42109
197.88,16083
None,19127
None,39135
169.5,46009
None,19097
93.5,46035
None,19083
None,27045
180,55025
103,37055
None,19039
None,46039
None,42093
132.5,24029
None,17105
None,24021
142.5,26151
214.83,31153
None,46043
256.2,53057
None,19197
None,27127
None,17187
232.13,31053
None,19019
165,42013
198.67,26067
None,29147
192.5,13075
None,18135
None,19007
None,27047
244.88,41005
None,19107
155.83,41053
None,39151
112,13001
None,19135
103.5,46067
None,19123
None,19191
None,39075
None,26065
None,19079
192.83,26023
88.2,37061
109.75,37107
None,39159
None,55061
None,19011
204,29005
179,27015
None,21039
None,18027
None,19099
None,17133
None,19041
None,18179
142,55101
188.5,55127
None,21083
None,19063
None,17201
145.75,46077
None,19043
None,24013
None,19075
None,27083
None,17099
211.57,46027
None,17163
None,18045
240.71,17103
182.43,13071
None,19067
241,27067
56,37147
None,19023
167,19109
205,31121
222.5,17073
200,31125
235.25,31141
None,19073
None,19143
235,26077
None,19159
None,55021
99.5,37163
228.5,31023
None,18101
131.5,46057
200.57,46125
277,19089
None,19101
311,19131
None,26075
131.25,13235
193,19065
None,19141
85.67,37079
None,46061
182,13069
None,39047
None,46101
None,17041
264.33,31167
None,17139
None,18019
None,19169
None,55131
None,19145
None,17177
None,27081
None,46097
None,19025
None,18007
None,27117
None,19171
None,39045
None,19195
None,31055
None,17141
None,55015
None,19181
None,19069
150,46099
None,19113
None,19081
237.14,31021
179.83,46011
None,55065
None,24031
110,24005
251,31177
None,55027
222.33,17161
None,19037
None,46087
180,55045
None,17113
199,17125
142,55079
None,19061
None,24043
None,17159
None,55039
None,19095
140,55091
None,17047
154.4,27073
None,39117
214.6,17031
214.6,17043
None,27101
280.43,31027
None,17035
None,19091
224.5,19139
215,19133
None,18017
None,19173
None,19105
None,19049
None,19157
145,13229
None,17025
147.5,26059
None,27105
92.07,37195
None,19035
None,19077
None,27131
248,19119
179.5,17111
168,13003
None,19183
None,17183
241,18051
None,19055
None,42119
None,18003
238,18181
111.13,37083
97.5,37191
None,19027
None,19003
None,18023
304.8,53053
None,27013
192.25,41047
198.63,41067
256.5,18083
None,19175
None,13005
None,26093
None,19189
None,18063
170,27147
207,19071
None,18071
None,18121
None,19103
213.5,55105
None,55055
156.25,42045
156.25,42101
None,19001
None,19129
None,42011
224.88,31119
300,31051
190.4,46083
None,39143
None,46079
157,53071
None,39169
218,18005
None,18065
None,18041
None,19161
None,18109
None,18031
None,18133
110,55089
None,17149
None,17191
282,17015
None,39057
172.67,18099
None,17171
None,17049
None,42051
None,18129
None,19137
237.13,17195
None,19163
95,37065
None,19031
228.88,31037
195.14,46127
None,27133
None,19029
231.75,31139
265.25,16067
178.5,18113
250.2,19167
313.5,19149
90,36055
None,19045
226.43,41051
229,18097
None,17013
None,19057
None,18009
None,55009
199.2,18039
None,37143
None,42029
204,31173
295.33,31179
None,19047
240,31039
None,19009
226.67,19193
None,42075
222.33,19085
132.5,24045
None,55071
None,17063
None,19155
None,19093
216.6,53061
None,18095
None,18145
None,19165
None,39175
183.5,42071
None,18111
333,53073
None,24027
159.5,41057
130,25005
188,18049
244.83,18141
None,24015
None,18011
208.75,53033
152.25,36027
268.14,18091
265,18103
242.25,18085
None,17029
186,17097
176.88,41071
None,17089
None,18139
None,18069
